# Consolidated ARL ID Analysis
# Ghost IP: 23.210.6.29
# Timestamp: Fri Apr 11 15:56:44 UTC 2025
# -----------------------------------------

## ARL ID: 184545
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 184545 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 66
10 Apr 21:02 155
10 Apr 21:03 14
10 Apr 21:04 90
10 Apr 21:05 21
10 Apr 21:06 65
10 Apr 21:07 97
10 Apr 21:08 22
10 Apr 21:09 76
10 Apr 21:10 64
10 Apr 21:11 94
10 Apr 21:12 93
10 Apr 21:13 36
10 Apr 21:14 29
10 Apr 21:15 6
10 Apr 21:16 41
10 Apr 21:17 12
10 Apr 21:18 70
10 Apr 21:19 47
10 Apr 21:21 19
10 Apr 21:22 25
10 Apr 21:23 16
10 Apr 21:26 3
10 Apr 21:28 4
10 Apr 21:31 6
10 Apr 21:32 7
10 Apr 21:35 1
10 Apr 21:43 11
10 Apr 21:44 23
10 Apr 21:45 52
10 Apr 21:46 40
10 Apr 21:47 100
10 Apr 21:48 95
10 Apr 21:49 44

## ARL ID: 229562
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 229562 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 2871
10 Apr 21:02 2360
10 Apr 21:03 2664
10 Apr 21:04 2023
10 Apr 21:05 2732
10 Apr 21:06 2769
10 Apr 21:07 2487
10 Apr 21:08 1763
10 Apr 21:09 910
10 Apr 21:10 1185
10 Apr 21:11 1035
10 Apr 21:12 551
10 Apr 21:13 1341
10 Apr 21:14 1787
10 Apr 21:15 1221
10 Apr 21:16 625
10 Apr 21:17 407
10 Apr 21:18 256
10 Apr 21:19 1153
10 Apr 21:20 2601
10 Apr 21:21 2257
10 Apr 21:22 1681
10 Apr 21:23 1493
10 Apr 21:24 816
10 Apr 21:25 219
10 Apr 21:26 247
10 Apr 21:27 223
10 Apr 21:28 201
10 Apr 21:29 286
10 Apr 21:30 58
10 Apr 21:31 79
10 Apr 21:32 99
10 Apr 21:33 59
10 Apr 21:34 190
10 Apr 21:35 117
10 Apr 21:36 114
10 Apr 21:37 45
10 Apr 21:38 12
10 Apr 21:39 6
10 Apr 21:40 25
10 Apr 21:41 8
10 Apr 21:42 6
10 Apr 21:43 17
10 Apr 21:44 174
10 Apr 21:45 259
10 Apr 21:46 713
10 Apr 21:47 1111
10 Apr 21:48 1866
10 Apr 21:49 396

## ARL ID: 248813
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 248813 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 18
10 Apr 21:02 91
10 Apr 21:05 117
10 Apr 21:09 4
10 Apr 21:10 1055
10 Apr 21:11 690
10 Apr 21:12 1
10 Apr 21:20 3
10 Apr 21:42 1
10 Apr 21:44 1
10 Apr 21:45 115
10 Apr 21:46 3
10 Apr 21:47 1
10 Apr 21:48 353

## ARL ID: 299019
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 299019 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 111
10 Apr 21:02 1159
10 Apr 21:03 179
10 Apr 21:04 56
10 Apr 21:05 4
10 Apr 21:06 7
10 Apr 21:07 45
10 Apr 21:10 691
10 Apr 21:11 4272
10 Apr 21:12 424
10 Apr 21:13 13
10 Apr 21:19 1
10 Apr 21:20 1
10 Apr 21:24 1
10 Apr 21:38 2
10 Apr 21:44 8
10 Apr 21:45 111
10 Apr 21:46 13
10 Apr 21:47 150
10 Apr 21:48 87
10 Apr 21:49 8

## ARL ID: 417743
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 417743 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 22
10 Apr 21:02 67
10 Apr 21:03 44
10 Apr 21:04 15
10 Apr 21:05 256
10 Apr 21:06 94
10 Apr 21:07 24
10 Apr 21:08 4
10 Apr 21:09 27
10 Apr 21:10 91
10 Apr 21:11 24
10 Apr 21:12 170
10 Apr 21:13 42
10 Apr 21:14 29
10 Apr 21:15 37
10 Apr 21:18 4
10 Apr 21:19 16
10 Apr 21:20 6
10 Apr 21:21 1
10 Apr 21:22 23
10 Apr 21:35 2
10 Apr 21:37 2
10 Apr 21:40 22
10 Apr 21:41 162
10 Apr 21:42 1
10 Apr 21:44 48
10 Apr 21:45 242
10 Apr 21:46 34
10 Apr 21:47 32
10 Apr 21:48 34

## ARL ID: 801330
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 801330 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 8
10 Apr 21:02 10
10 Apr 21:03 2
10 Apr 21:10 5
10 Apr 21:15 1
10 Apr 21:44 2

## ARL ID: 845959
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 845959 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 10
10 Apr 21:02 322
10 Apr 21:03 1493
10 Apr 21:04 494
10 Apr 21:05 44
10 Apr 21:06 15
10 Apr 21:09 7
10 Apr 21:10 10
10 Apr 21:11 2
10 Apr 21:12 4
10 Apr 21:13 6
10 Apr 21:14 7
10 Apr 21:17 6
10 Apr 21:30 1
10 Apr 21:34 16
10 Apr 21:35 2285
10 Apr 21:36 887
10 Apr 21:37 3324
10 Apr 21:38 5392
10 Apr 21:39 4570
10 Apr 21:40 6723
10 Apr 21:41 2710
10 Apr 21:42 3261
10 Apr 21:43 4038
10 Apr 21:44 3526
10 Apr 21:45 1752
10 Apr 21:46 2828
10 Apr 21:47 4176
10 Apr 21:48 358
10 Apr 21:49 244

## ARL ID: 859807
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 859807 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:04 5
10 Apr 21:14 1
10 Apr 21:15 1

## ARL ID: 1017383
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 1017383 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 2
10 Apr 21:02 263
10 Apr 21:03 10
10 Apr 21:05 4
10 Apr 21:06 1
10 Apr 21:38 12

## ARL ID: 1061388
# Command: zstdcat 23.210.6.29_rule_cpu_1_845959_1744321407//23.210.6.29_ghost.ddc.log.gz | grep 1061388 | /a/bin/log_filter 'formatdate("%d %b %H:%M", unix_date) where rt in ("r", "S")' | sort | uniq -c | sort -k 2,2 -k 4,4 | awk '{printf "%s", $2; for(i=3; i<=NF; i++) printf " %s", $i; printf " %s\n", $1}'
10 Apr 21:01 188
10 Apr 21:02 247
10 Apr 21:03 281
10 Apr 21:04 427
10 Apr 21:05 424
10 Apr 21:06 353
10 Apr 21:07 69
10 Apr 21:08 120
10 Apr 21:09 89
10 Apr 21:10 122
10 Apr 21:11 141
10 Apr 21:12 27
10 Apr 21:13 198
10 Apr 21:14 121
10 Apr 21:15 6
10 Apr 21:16 5
10 Apr 21:17 90
10 Apr 21:18 165
10 Apr 21:19 304
10 Apr 21:20 71
10 Apr 21:21 47
10 Apr 21:22 117
10 Apr 21:23 63
10 Apr 21:24 45
10 Apr 21:25 33
10 Apr 21:26 34
10 Apr 21:27 87
10 Apr 21:28 93
10 Apr 21:30 26
10 Apr 21:31 7
10 Apr 21:32 60
10 Apr 21:33 16
10 Apr 21:34 22
10 Apr 21:35 3
10 Apr 21:36 43
10 Apr 21:37 157
10 Apr 21:38 44
10 Apr 21:39 20
10 Apr 21:40 24
10 Apr 21:41 107
10 Apr 21:42 19
10 Apr 21:43 24
10 Apr 21:44 142
10 Apr 21:45 146
10 Apr 21:46 370
10 Apr 21:47 330
10 Apr 21:48 259
10 Apr 21:49 39

